pos_error,yaw_error
0.256954,0.0239533
0.256924,0.0239533
0.256893,0.0239533
0.256863,0.0239533
0.256833,0.0239533
0.256802,0.0239533
0.256772,0.0239533
0.256742,0.0239533
0.256713,0.0239533
0.256683,0.0239533
0.256653,0.0239533
0.256624,0.0239533
0.256595,0.0239533
0.256565,0.0239533
0.256536,0.0239533
0.256507,0.0239533
0.256479,0.0239533
0.25645,0.0239533
0.256421,0.0239533
0.256393,0.0239532
0.256364,0.0239532
0.256336,0.0239532
0.256308,0.0239532
0.25628,0.0239532
0.256252,0.0239532
0.256224,0.0239532
0.256196,0.0239532
0.256169,0.0239532
0.256141,0.0239532
0.256114,0.0239532
0.256087,0.0239532
0.256059,0.0239532
0.256032,0.0239532
0.256006,0.0239532
0.255979,0.0239532
0.255952,0.0239532
0.255926,0.0239532
0.255899,0.0239532
0.255873,0.0239532
0.255847,0.0239532
0.255821,0.0239532
0.255795,0.0239532
0.255769,0.0239532
0.255743,0.0239532
0.255717,0.0239532
0.255692,0.0239532
0.255667,0.0239532
0.255641,0.0239532
0.255616,0.0239532
0.255591,0.0239532
0.255566,0.0239532
0.255541,0.0239532
0.255517,0.0239532
0.255492,0.0239532
0.255468,0.0239532
0.255443,0.0239532
0.255419,0.0239532
0.255395,0.0239532
0.255371,0.0239532
0.255347,0.0239532
0.255324,0.0239532
0.2553,0.0239532
0.255276,0.0239532
0.255253,0.0239532
0.25523,0.0239532
0.255207,0.0239532
0.255184,0.0239532
0.255161,0.0239532
0.255138,0.0239532
0.255115,0.0239532
0.255093,0.0239532
0.25507,0.0239532
0.255048,0.0239532
0.255026,0.0239532
0.255004,0.0239532
0.254982,0.0239532
0.25496,0.0239532
0.254938,0.0239532
0.254916,0.0239532
0.254895,0.0239532
0.254874,0.0239532
0.254852,0.0239532
0.254831,0.0239532
0.25481,0.0239532
0.254789,0.0239532
0.254768,0.0239532
0.254748,0.0239532
0.254727,0.0239532
0.254707,0.0239532
0.254686,0.0239532
0.254666,0.0239532
0.254646,0.0239532
0.254626,0.0239532
0.254606,0.0239532
0.254587,0.0239532
0.254567,0.0239532
0.254548,0.0239532
0.254528,0.0239532
0.254509,0.0239532
0.25449,0.0239532
0.254471,0.0239532
0.254452,0.0239532
0.254433,0.0239532
0.254414,0.0239532
0.254396,0.0239532
0.254378,0.0239532
0.254359,0.0239532
0.254341,0.0239532
0.254323,0.0239532
0.254305,0.0239532
0.254287,0.0239532
0.25427,0.0239532
0.254252,0.0239532
0.254234,0.0239532
0.254217,0.0239532
0.2542,0.0239532
0.254183,0.0239532
0.254166,0.0239532
0.254149,0.0239532
0.254132,0.0239532
0.254116,0.0239532
0.254099,0.0239532
0.254083,0.0239531
0.254066,0.0239531
0.25405,0.0239531
0.254034,0.0239531
0.254018,0.0239531
0.254002,0.0239531
0.253987,0.0239531
0.253971,0.0239531
0.253956,0.0239531
0.25394,0.0239531
0.253925,0.0239531
0.25391,0.0239531
0.253895,0.0239531
0.25388,0.0239531
0.253866,0.0239531
0.253851,0.0239531
0.253836,0.0239531
0.253822,0.0239531
0.253808,0.0239531
0.253794,0.0239531
0.25378,0.0239531
0.253766,0.0239531
0.253752,0.0239531
0.253738,0.0239531
0.253725,0.0239531
0.253711,0.0239531
0.253698,0.0239531
0.253685,0.0239531
0.253672,0.0239531
0.253659,0.0239531
0.253646,0.0239531
0.253633,0.0239531
0.253621,0.0239531
0.253608,0.0239531
0.253596,0.0239531
0.253584,0.0239531
0.253572,0.0239531
0.25356,0.0239531
0.253548,0.0239531
0.253536,0.0239531
0.253525,0.0239531
0.253513,0.0239531
0.253502,0.0239531
0.253491,0.0239531
0.253479,0.0239531
0.253468,0.0239531
0.253457,0.0239531
0.253447,0.0239531
0.253436,0.0239531
0.253426,0.0239531
0.253405,0.0239531
0.253395,0.0239531
0.253385,0.0239531
0.253375,0.0239531
0.253365,0.0239531
0.253355,0.0239531
0.253346,0.0239531
0.253336,0.0239531
0.253327,0.0239531
0.253318,0.0239531
0.253308,0.0239531
0.253299,0.0239531
0.253291,0.0239531
0.253282,0.0239531
0.253273,0.0239531
0.253265,0.0239531
0.253256,0.0239531
0.253248,0.0239531
0.25324,0.0239531
0.253232,0.0239531
0.253224,0.0239531
0.253216,0.0239531
0.253209,0.0239531
0.253201,0.0239531
0.253194,0.0239531
0.253187,0.0239531
0.253179,0.0239531
0.253172,0.0239531
0.253165,0.0239531
0.253159,0.0239531
0.253152,0.0239531
0.253145,0.0239531
0.253139,0.0239531
0.253133,0.0239531
0.253126,0.0239531
0.25312,0.0239531
0.253114,0.0239531
0.253108,0.0239531
0.253103,0.0239531
0.253097,0.0239531
0.253092,0.0239531
0.253086,0.0239531
0.253081,0.0239531
0.253076,0.0239531
0.253071,0.0239531
0.253066,0.0239531
0.253061,0.0239531
0.253057,0.0239531
0.253052,0.0239531
0.253048,0.0239531
0.253043,0.0239531
0.253039,0.0239531
0.253035,0.0239531
0.253031,0.0239531
0.253028,0.0239531
0.253024,0.0239531
0.25302,0.0239531
0.253017,0.0239531
0.253014,0.0239531
0.25301,0.0239531
0.253007,0.0239531
0.253004,0.0239531
0.253002,0.0239531
0.252999,0.0239531
0.252996,0.0239531
0.252994,0.0239531
0.252992,0.0239531
0.252989,0.0239531
0.252987,0.0239531
0.252985,0.0239531
0.252983,0.0239531
0.252982,0.0239531
0.25298,0.0239531
0.252978,0.0239531
0.252977,0.0239531
0.252976,0.0239531
0.252975,0.0239531
0.252974,0.0239531
0.252973,0.0239531
0.252972,0.0239531
0.252971,0.0239531
0.252971,0.0239531
0.25297,0.0239531
0.25297,0.0239531
0.25297,0.0239531
0.25297,0.0239531
0.25297,0.0239531
0.25297,0.0239531
0.25297,0.0239531
0.252971,0.0239531
0.252971,0.0239531
0.252972,0.0239531
0.252973,0.0239531
0.252974,0.0239531
0.252975,0.0239531
0.252976,0.0239531
0.252977,0.0239531
0.252979,0.0239531
0.25298,0.0239531
0.252982,0.0239531
0.252984,0.0239531
0.252986,0.0239531
0.252988,0.0239531
0.25299,0.0239531
0.252992,0.0239531
0.252994,0.0239531
0.252997,0.023953
0.252999,0.023953
0.253002,0.023953
0.253005,0.023953
0.253008,0.023953
0.253011,0.023953
0.253014,0.023953
0.253018,0.023953
0.253021,0.023953
0.253025,0.023953
0.253028,0.023953
0.253032,0.023953
0.253036,0.023953
0.25304,0.023953
0.253044,0.023953
0.253049,0.023953
0.253053,0.023953
0.253057,0.023953
0.253062,0.023953
0.253067,0.023953
0.253072,0.023953
0.253077,0.023953
0.253082,0.023953
0.253087,0.023953
0.253093,0.023953
0.253098,0.023953
0.253104,0.023953
0.253109,0.023953
0.253115,0.023953
0.253121,0.023953
0.253127,0.023953
0.253134,0.023953
0.25314,0.023953
0.253146,0.023953
0.253153,0.023953
0.25316,0.023953
0.253167,0.023953
0.253173,0.023953
0.253181,0.023953
0.253188,0.023953
0.253195,0.023953
0.253202,0.023953
0.25321,0.023953
0.253218,0.023953
0.253225,0.023953
0.253233,0.023953
0.253241,0.023953
0.25325,0.023953
0.253258,0.023953
0.253266,0.023953
0.253275,0.023953
0.253283,0.023953
0.253292,0.023953
0.253301,0.023953
0.25331,0.023953
0.253319,0.023953
0.253328,0.023953
0.253338,0.023953
